id,price,bedrooms,bathrooms,sqft,yr_built,zipcode
1370804430,543115,2,1,1380,1947,98199
3744000040,518380,4,2.5,2810,2014,98038
3313600266,190000,3,1,1180,1966,98002
7214800190,490000,4,2.25,2110,1978,98072
293000068,556000,3,1.75,1640,1948,98126
3630180240,808900,5,2.5,2900,2006,98027
8113101670,378000,4,1.5,2140,1959,98118
6145602240,369000,3,1.75,1300,1985,98133
3121500150,894000,4,2.5,3800,1993,98053
3738900105,350000,3,1,1130,1948,98155
2489200165,435000,3,1,1050,1920,98126
7234601440,750000,2,1.5,1300,1943,98122
114101505,630000,5,3.5,4060,2001,98028
6084600660,263000,3,2.5,1720,1987,98001
3204300090,640000,3,1,1210,1930,98112
1864900230,315000,4,2.5,1940,1977,98042
7937600010,322000,4,1,1750,1942,98058
6430000275,485000,3,2,1420,1905,98103
3822200036,257500,2,2,1180,1940,98125
1630700276,385000,2,1.5,1370,1960,98072
631000040,548000,4,1.75,1690,1968,98033
2895600350,375000,3,1,1780,1944,98146
3630220180,812000,4,3.5,3370,2007,98029
1326069151,260000,3,1.75,2160,1981,98019
486000565,840000,4,1.75,2930,1947,98117
1930301325,1030000,3,2.75,2780,1904,98103
7701450110,1040000,4,2.5,3770,1997,98006
1211000280,295000,2,1,750,1945,98122
792500190,410000,3,2,1400,1981,98070
7812800775,264250,3,1,1420,1944,98178
832700240,325000,3,1.5,1270,2009,98133
1545800640,242000,3,2,1260,1986,98038
809002435,725000,3,2.5,1940,1906,98109
4027700799,364000,3,2.25,1420,1987,98028
1994200031,450000,3,2,1430,1947,98103
8827901415,613000,3,1.5,1470,1918,98105
5104520550,357500,3,3.5,2080,2004,98038
9477201370,440000,3,1.75,1760,1976,98034
1310900610,336000,4,2.25,2210,1967,98032
7254000100,680000,3,2.5,2060,2001,98005
6664500090,750000,5,4,4500,2007,98059
3449000010,294570,3,1,1140,1960,98059
5104540330,679000,4,2.5,3680,2006,98038
2312400230,257000,3,2.25,1810,1992,98003
5652600427,420000,4,2,1700,1950,98115
7795400046,276900,2,1,1350,1952,98045
986000045,240000,4,1.75,2020,1954,98168
7518506715,979000,3,2.5,2690,2014,98117
7299600700,328000,3,2.5,2242,2013,98092
9834200305,615000,3,1,1790,1904,98144
8732030490,261500,4,2.5,2460,1977,98023
622100130,365000,2,2,1440,1985,98072
5379804888,380000,4,1.75,1740,1974,98188
4239400740,192950,3,1,1170,1969,98092
6822100750,700000,3,1.75,1500,1940,98199
2768100690,513000,3,1.75,1710,1944,98107
3754501235,1190000,3,2.5,2510,2006,98034
9250900111,500000,3,2.5,2270,1999,98133
9164100125,533000,4,1,1550,1919,98117
5700000515,690000,4,2,2230,1922,98144
6632300207,385000,3,2.5,1520,2006,98125
421000555,200000,3,1,1050,1967,98056
1189000025,659000,3,1.5,1540,1907,98122
2730000270,178500,3,1,900,1961,98001
2131200065,265800,3,1.75,1460,1982,98019
1951600240,185000,3,1,1240,1959,98032
461004720,563000,3,2,1380,1917,98117
4237901345,825000,4,3.25,3200,2006,98199
2558720120,487585,4,1.75,2010,1977,98034
9525600030,631500,2,2.5,1780,1981,98107
9828702588,906000,3,2.5,2030,2013,98112
3438500924,538900,5,3,3040,2005,98106
203900610,339000,3,1.75,1150,1966,98053
6126601380,490000,2,1,1760,1951,98126
7904700032,375000,2,1.5,1130,2006,98116
2625069070,1390000,4,3.25,4860,1993,98074
8081900195,572500,3,1,1590,1926,98117
7972601250,360000,6,2.75,2850,1962,98106
2201500440,345000,3,1.5,1240,1954,98006
1085610030,725500,4,2.5,2790,1997,98053
9508500075,462000,5,1.75,2840,1954,98177
9517200030,365500,3,2,1410,1983,98072
3213200180,700180,2,1.75,1530,1952,98115
9536600810,380000,4,2.5,1984,1962,98198
5628400080,420000,3,2.25,1800,1959,98028
4309710100,725000,4,3.25,3940,2000,98059
9396700028,358000,2,2.5,1278,2007,98136
7940710100,559000,3,2.5,2010,1989,98034
5087900040,350000,4,2.75,2500,2008,98042
3709600190,370000,4,2.5,2130,2009,98058
6818400110,261000,4,1.5,2040,1961,98188
9151600695,625000,3,2,2140,1911,98116
8663370060,349000,3,2.25,1640,1989,98034
621069113,200000,3,1.5,1090,1963,98042
5151600195,283200,4,1.75,1830,1958,98003
3420069065,360000,4,1.75,3730,1974,98022
7525300310,580000,4,2.25,2160,1969,98008
2025760210,657500,4,2.75,4140,2002,98092
6126600950,470000,3,3.25,1740,2007,98116
326069104,800000,3,3.5,3830,1993,98077
2481620310,1120000,4,2.25,4470,1988,98072
7979900145,385000,3,1,1470,1950,98155
6700390090,255950,3,2.5,1720,1992,98031
6852700520,635000,2,2.5,1390,2006,98102
2738640040,644000,4,2.5,3310,2007,98072
2224079001,625700,3,2,2570,1968,98024
2770601457,542300,3,2.25,1580,2013,98199
443000060,595000,3,2.25,2400,1962,98115
2425049066,1920000,4,2.5,3070,1950,98039
1683800120,302500,3,2.25,3100,1963,98198
1422059039,455000,4,2.75,3030,1959,98042
8562890370,399950,4,2.5,3110,2001,98042
4022905473,565000,5,3,2560,2012,98155
1423069076,560000,3,2,2870,1980,98027
1133000671,315000,3,1,960,1952,98125
3500100089,495000,5,1.75,2760,1968,98155
4122500095,1050000,5,2.75,2520,1959,98004
8731990700,299950,3,1.75,1790,1978,98023
643300180,665000,3,2.75,1800,1966,98006
9541800075,685650,3,1.75,1490,1958,98005
9202650130,620000,4,2.5,1910,1987,98027
4100000140,640000,4,1.75,2060,1960,98005
984200590,315001,3,1.75,1500,1968,98058
7214720400,630000,3,2.5,2900,1987,98077
6600220090,475000,2,2.5,1620,1981,98074
2937300520,799990,4,2.75,3110,2014,98052
2473101070,315000,3,2,1500,1967,98058
2436700655,515000,2,2.5,1330,2004,98105
1912100885,690000,3,1.5,1760,1922,98102
1357300240,333500,3,1.75,1320,1977,98028
8813400165,675000,4,2,1890,1940,98105
8658300510,410500,4,2.5,1980,2008,98014
4122900020,1390000,4,3,4040,1972,98004
117000100,680000,3,1.75,1660,1909,98116
2420069251,262000,1,0.75,520,1920,98022
6431000005,599995,3,1,1620,1928,98103
3321049112,379900,4,2.5,3181,2014,98003
3629980080,725000,4,2.5,2870,2006,98029
9268850180,288790,3,1.75,1290,2008,98027
8018600765,240500,3,1.75,1460,1997,98168
8864000735,275000,4,2,2030,1944,98168
2976800115,349170,4,1.75,1670,1955,98178
7207900050,424950,5,3.5,2760,2013,98056
9532000500,415000,3,2.5,1610,2010,98072
8143000310,495000,4,2.5,2020,1968,98034
585000008,460000,2,1,1020,1953,98116
3343903611,615000,5,3.25,3090,2012,98056
8682290360,457000,2,2,1440,2006,98053
2311400195,1560000,5,3.5,3630,2008,98004
8122100690,449000,4,2.5,1850,1930,98126
2725069050,863000,4,2.5,4120,1997,98074
9414610010,430000,3,2,1730,1978,98027
6666830120,745641,4,2.5,2440,2013,98052
3892500070,1480000,3,3.5,4070,1991,98033
5561400610,542500,5,3.5,2730,1989,98027
9407100800,255000,3,1,1230,1979,98045
9329300040,440000,3,1.75,1550,1981,98034
305010050,665000,4,2.5,2510,1998,98075
5428000070,770000,5,3.5,4750,2013,98198
1377300020,650000,3,1.5,2120,1940,98199
2325039057,469775,2,1.75,1530,1942,98199
4217401195,920000,5,2.25,2730,1927,98105
3964400470,500000,3,1.5,2150,1928,98144
1402950550,332000,4,2.5,2470,2002,98092
523049195,150000,2,1,820,1954,98168
1450100420,205000,3,1,960,1960,98002
723099044,433200,3,2.5,2075,2002,98045
9492500010,879950,4,2.75,3010,2014,98033
3331000070,735000,4,2.5,2820,2013,98118
3735901600,435000,2,1,1260,1926,98115
4389201075,1900000,4,2.5,3680,1946,98004
7199000290,525000,4,2,2420,1967,98052
3261020370,653000,3,2.5,2680,1979,98034
925059193,1070000,4,3.75,4260,2008,98033
418000415,191000,2,1,700,1952,98056
1022059082,307000,3,1.75,1890,1966,98042
2025059201,725000,3,1.75,1880,1967,98004
4232900310,1430000,5,4.25,3350,2014,98119
2113700335,316500,3,1.75,1460,1979,98106
3304040130,375900,3,2,1824,2010,98001
5451220200,998000,4,2.25,2420,1973,98040
2205700180,545000,3,2,1610,1955,98006
9542840590,275000,3,2,1380,2008,98038
3904980270,517500,3,2.5,1800,1989,98029
4315700175,440000,3,1,1210,1910,98136
461005435,519000,3,1.75,2000,1903,98117
6413100090,458000,2,1.75,990,1942,98125
7335400215,95000,1,0.75,760,1915,98002
7852130460,500000,4,3,2520,2002,98065
1771000290,340000,3,1.75,1280,1976,98077
3874900090,448000,2,2,1670,1919,98126
7211401975,260000,3,2.5,1440,2006,98146
3832600080,270000,3,2.25,1740,1973,98032
2379300340,321500,4,2.5,1930,2000,98030
408100105,265000,3,1,800,1949,98155
6203000160,460500,3,1,1490,1963,98033
225039145,285000,3,1,1210,1901,98117
5422420140,280000,3,2.5,1860,1989,98023
267000170,575950,3,2.25,1640,1967,98008
5412101150,299000,4,2.5,2400,2001,98001
1115750190,770000,3,2.5,3680,1985,98052
7732000045,757000,3,2.75,2610,1985,98033
7555210100,880000,4,2.75,2560,1975,98033
6070500055,599000,4,2.25,2260,1977,98006
2061100570,595000,3,1.75,1910,1941,98115
625049281,535000,2,1,1030,1939,98103
1828000230,498000,3,2,1620,1968,98052
6445800015,490000,3,2.75,1990,1986,98029
6401700010,410000,3,1.75,1510,1939,98144
2781600195,285000,1,1,1060,1935,98070
8937600080,295000,3,1.75,1930,1967,98023
3585900190,825000,3,2.5,3400,1955,98177
2891100820,213500,3,1,1220,1968,98002
3448740160,415000,4,2.5,2550,2009,98059
518500210,868500,3,2.5,2920,2008,98056
8682211030,391265,3,2,1440,2002,98053
7922900460,660000,3,1.75,2030,1963,98008
3224600310,685100,4,2.5,2790,1999,98074
4322200220,675000,3,2.75,3370,1910,98136
4319200605,475000,3,2.5,1700,1998,98126
2421059009,413000,3,1.75,2280,1977,98092
8637100370,252000,3,2,1340,1994,98055
3262300235,1560000,5,2.5,2870,1962,98039
1422700110,267000,3,1,1740,1962,98188
9510910250,670000,4,2.5,2095,2002,98052
6141600065,530000,3,2.25,2160,1960,98133
